Date,Open,High,Low,Close,Adj Close,Volume
2023-11-06,652.849976,652.849976,643.200012,646.049988,646.049988,10801301
2023-11-07,645.000000,649.900024,643.299988,645.000000,645.000000,6588073
2023-11-08,648.000000,649.049988,641.900024,642.549988,642.549988,6551864
2023-11-09,644.000000,653.650024,642.700012,649.349976,649.349976,10155047
2023-11-10,649.349976,652.950012,644.000000,651.049988,651.049988,6425792
2023-11-13,653.000000,654.000000,649.299988,653.250000,653.250000,3279829
2023-11-15,660.000000,673.500000,656.549988,671.549988,671.549988,11324434
2023-11-16,674.000000,685.500000,670.900024,680.400024,680.400024,17501373
2023-11-17,682.500000,687.650024,679.599976,681.549988,681.549988,9563220
2023-11-20,682.000000,686.750000,670.700012,674.299988,674.299988,8324354
2023-11-21,677.000000,683.299988,675.000000,681.700012,681.700012,7291057
2023-11-22,683.950012,687.349976,676.049988,681.200012,681.200012,9279642
2023-11-23,683.200012,685.900024,677.049988,679.950012,679.950012,5885370
2023-11-24,681.400024,681.950012,671.250000,673.700012,673.700012,6951690
2023-11-28,677.450012,699.450012,674.250000,697.500000,697.500000,16015860
2023-11-29,702.750000,714.400024,694.349976,712.349976,712.349976,16122864
2023-11-30,716.299988,717.250000,697.000000,706.400024,706.400024,24275245
2023-12-01,708.000000,711.000000,703.000000,705.450012,705.450012,10565415
2023-12-04,716.000000,717.000000,704.799988,705.599976,705.599976,9348036
2023-12-05,705.900024,714.900024,705.000000,708.950012,708.950012,9601509
2023-12-06,709.049988,724.799988,709.000000,722.450012,722.450012,12148825
2023-12-07,725.000000,727.500000,716.000000,721.950012,721.950012,10451801
2023-12-08,722.049988,727.599976,707.500000,714.549988,714.549988,8557203
2023-12-11,717.799988,726.500000,716.549988,720.799988,720.799988,6403209
2023-12-12,724.799988,724.799988,713.000000,715.400024,715.400024,6461539
2023-12-13,716.000000,721.450012,713.500000,720.299988,720.299988,5807736
2023-12-14,724.000000,724.700012,718.599976,719.750000,719.750000,6732352
2023-12-15,723.900024,734.000000,721.250000,732.400024,732.400024,12082079
2023-12-18,732.900024,734.750000,728.099976,730.799988,730.799988,5450397
2023-12-19,732.599976,732.599976,726.000000,728.950012,728.950012,4511101
2023-12-20,730.950012,733.000000,703.049988,705.250000,705.250000,8107602
2023-12-21,703.000000,711.900024,696.250000,708.849976,708.849976,7702232
2023-12-22,716.799988,731.000000,712.000000,724.700012,724.700012,12062238
2023-12-26,727.400024,727.500000,716.599976,719.549988,719.549988,7229143
2023-12-27,728.000000,741.849976,725.150024,740.900024,740.900024,15052800
2023-12-28,742.650024,757.950012,739.049988,753.900024,753.900024,14906199
2023-12-29,755.000000,802.900024,754.000000,779.950012,779.950012,41170191
2024-01-01,785.000000,798.700012,781.049988,790.599976,790.599976,12570717
2024-01-02,800.500000,804.000000,779.000000,784.400024,784.400024,13791090
2024-01-03,786.049988,790.000000,776.250000,781.450012,781.450012,8559060
2024-01-04,798.000000,801.799988,791.299988,795.750000,795.750000,14298444
2024-01-05,799.000000,805.900024,787.099976,790.950012,790.950012,11091198
2024-01-08,798.400024,800.349976,787.500000,789.099976,789.099976,7668471
2024-01-09,799.950012,809.200012,793.150024,799.799988,799.799988,12872757
2024-01-10,800.000000,811.000000,792.650024,808.450012,808.450012,9980044
2024-01-11,813.500000,817.500000,808.450012,815.650024,815.650024,11075167
2024-01-12,818.150024,818.549988,809.150024,816.450012,816.450012,7664094
2024-01-15,820.000000,820.400024,810.299988,812.450012,812.450012,4835856
2024-01-16,812.450012,827.000000,812.450012,818.849976,818.849976,10159066
2024-01-17,811.000000,813.700012,804.000000,805.549988,805.549988,7895439
2024-01-18,807.000000,822.950012,797.000000,819.049988,819.049988,11500495
2024-01-19,823.849976,826.000000,819.500000,823.549988,823.549988,5706888
2024-01-22,823.549988,823.549988,823.549988,823.549988,823.549988,0
2024-01-23,824.900024,827.599976,796.299988,800.450012,800.450012,9436209
2024-01-24,802.400024,812.000000,788.500000,810.900024,810.900024,7217542
2024-01-25,814.000000,814.150024,800.299988,811.849976,811.849976,10109720
2024-01-29,811.849976,843.799988,811.049988,841.000000,841.000000,12823686
2024-01-30,843.000000,885.950012,842.849976,858.849976,858.849976,19734613
2024-01-31,865.200012,896.500000,865.200012,884.200012,884.200012,24562392
2024-02-01,900.000000,900.150024,876.299988,878.500000,878.500000,14505885
2024-02-02,886.000000,895.750000,876.849976,878.750000,878.750000,13003437
